epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5329,1.36681,5.76222,1.27367,0,0,0,0,1.03997,5.51698,1.0441,0.0006,0.0006,0.0006
2,29.1507,1.07419,5.54362,1.08401,0,0,0,0,0.90326,5.41937,0.96193,0.00129987,0.00129987,0.00129987
3,43.5767,0.98044,5.31272,1.00982,0,0,0,0,0.9132,5.27144,0.91682,0.0019996,0.0019996,0.0019996
4,58.0349,0.97256,5.00024,0.97281,0,0,0,0,1.09098,5.23736,0.94052,0.0026992,0.0026992,0.0026992
5,74.8013,0.97968,4.71441,0.97598,0.01167,0.00323,0.00748,0.00557,0.98002,5.06422,0.92111,0.00339865,0.00339865,0.00339865
6,94.9183,0.98719,4.18081,0.965,0.01895,0.02078,0.0191,0.01202,0.97107,4.91119,0.92256,0.00409797,0.00409797,0.00409797
7,112.432,1.00986,3.77144,1.01892,0.01121,0.00519,0.00833,0.00683,0.92745,4.94866,0.90976,0.00479715,0.00479715,0.00479715
8,127.387,1.01539,3.46584,1.00095,0.01067,0.00416,0.00733,0.00605,0.85559,4.83157,0.88401,0.00549619,0.00549619,0.00549619
9,148.68,1.09909,3.27475,1.02116,0.05427,0.03414,0.04243,0.03344,0.96393,4.7392,0.92439,0.00619509,0.00619509,0.00619509
10,175.036,1.06985,2.99778,1.00796,0.04985,0.06839,0.05786,0.04594,0.99377,4.60983,0.9368,0.00689385,0.00689385,0.00689385
11,198.241,1.05571,3.03154,1.00947,0.07654,0.07245,0.06904,0.05262,0.92776,4.60422,0.91722,0.00759248,0.00759248,0.00759248
12,241.152,1.06708,2.88611,1.00978,0.05447,0.17187,0.11108,0.07868,1.00968,4.04979,0.96751,0.00829096,0.00829096,0.00829096
13,282.324,1.13328,2.6433,1.01759,0.0521,0.19787,0.1291,0.08817,1.04316,3.98244,0.95583,0.00898931,0.00898931,0.00898931
14,335.001,1.07814,2.62743,0.99936,0.0314,0.1862,0.10394,0.074,0.95385,3.81861,0.9504,0.00968752,0.00968752,0.00968752
15,386.281,1.10208,2.68088,1.00476,0.04699,0.18934,0.12206,0.08762,0.92496,3.59206,0.94223,0.00998614,0.00998614,0.00998614
16,432.465,1.02656,2.37553,0.99796,0.77611,0.07186,0.09627,0.06808,1.01489,3.01623,0.9739,0.00998515,0.00998515,0.00998515
17,478.516,1.01527,2.23446,0.99897,0.717,0.04509,0.08238,0.05848,0.996,3.07093,0.99526,0.00998416,0.00998416,0.00998416
