epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5917,1.29732,5.85131,1.20407,0,0,0,0,1.05633,5.72412,1.06311,0.0009,0.0009,0.0009
2,43.8333,1.0807,5.40993,1.07151,0,0,0,0,1.03176,5.59078,0.98545,0.00189981,0.00189981,0.00189981
3,19.4084,1.02451,4.95401,1.02804,0,0,0,0,0.98019,5.45826,0.94618,0.00289943,0.00289943,0.00289943
4,38.3767,1.01174,4.28052,1.02706,0,0,0,0,1.14074,5.39539,0.96941,0.00389884,0.00389884,0.00389884
5,58.6982,1.03567,3.80822,1.03745,0,0,0,0,0.85772,5.27809,0.91251,0.00489806,0.00489806,0.00489806
6,80.2985,0.99231,3.81382,1.01365,0,0,0,0,0.8909,5.15009,0.91985,0.00589708,0.00589708,0.00589708
7,106.017,1.09443,3.5773,1.02945,0.05364,0.01946,0.03665,0.02615,0.97396,4.95845,1.00586,0.0068959,0.0068959,0.0068959
8,140.238,1.07767,3.04665,1.04235,0.0582,0.07144,0.06896,0.05449,0.92134,4.58148,0.97876,0.00789453,0.00789453,0.00789453
9,185.161,0.99065,2.97548,1.00478,0.04685,0.1175,0.08336,0.06671,0.84192,4.57472,0.93831,0.00889295,0.00889295,0.00889295
10,240.093,1.06951,2.85609,1.05188,0.04589,0.15738,0.10327,0.07917,0.90784,4.24819,0.98987,0.00989118,0.00989118,0.00989118
11,306.825,0.96834,2.72812,1.00955,0.76384,0.0612,0.09642,0.07152,0.99454,3.47422,1.0285,0.0099901,0.0099901,0.0099901
12,381.429,1.0526,2.6969,1.05948,0.78084,0.06421,0.09695,0.06836,1.08821,3.44593,1.08417,0.00998911,0.00998911,0.00998911
13,452.527,1.14373,2.70767,1.07364,0.80146,0.07142,0.082,0.06177,0.96313,2.84285,1.03749,0.00998812,0.00998812,0.00998812
14,525.497,0.9907,2.24145,1.0181,0.70984,0.04488,0.07931,0.05264,1.00292,3.1602,1.05458,0.00998713,0.00998713,0.00998713
15,590.294,0.99978,2.18251,1.04024,0.7483,0.05087,0.06211,0.04605,0.96679,2.80171,1.03393,0.00998614,0.00998614,0.00998614
16,645.596,1.03089,2.30404,1.01612,0.74346,0.06047,0.07217,0.05153,0.95086,2.22221,1.0702,0.00998515,0.00998515,0.00998515
